title,image_id,source_url,cloudinary_secure_url,cloudinary_public_id,status,error
Live Oak Mural,nj3bmfnarl5tigoo,https://maphub.net/media/images/n/j3/nj3bmfnarl5tigoo/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759486/public-art-map/nj3bmfnarl5tigoo.jpg,public-art-map/nj3bmfnarl5tigoo,ok,
Major George B. Erath--Frontiersman,wigqsmtrgpbivlws,https://maphub.net/media/images/w/ig/wigqsmtrgpbivlws/544_400.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759648/public-art-map/wigqsmtrgpbivlws.jpg,public-art-map/wigqsmtrgpbivlws,ok,
Martin Luther King Jr.,m7pdwrzg1epgn0mg,https://maphub.net/media/images/m/7p/m7pdwrzg1epgn0mg/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759486/public-art-map/m7pdwrzg1epgn0mg.jpg,public-art-map/m7pdwrzg1epgn0mg,ok,
Meerkat Tribe,nmv5abui3ud0svji,https://maphub.net/media/images/n/mv/nmv5abui3ud0svji/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759487/public-art-map/nmv5abui3ud0svji.jpg,public-art-map/nmv5abui3ud0svji,ok,
Metamorphosis,tyvws9n3nta1wrrs,https://maphub.net/media/images/t/yv/tyvws9n3nta1wrrs/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759487/public-art-map/tyvws9n3nta1wrrs.jpg,public-art-map/tyvws9n3nta1wrrs,ok,
Montessori Mural,hx27yabpd7npblbw,https://maphub.net/media/images/h/x2/hx27yabpd7npblbw/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759487/public-art-map/hx27yabpd7npblbw.jpg,public-art-map/hx27yabpd7npblbw,ok,
Mother and Child,lpusibhorzylyqg9,https://maphub.net/media/images/l/pu/lpusibhorzylyqg9/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759488/public-art-map/lpusibhorzylyqg9.jpg,public-art-map/lpusibhorzylyqg9,ok,
Muse Status,zljl4x9wyjcucnle,https://maphub.net/media/images/z/lj/zljl4x9wyjcucnle/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759488/public-art-map/zljl4x9wyjcucnle.jpg,public-art-map/zljl4x9wyjcucnle,ok,
My Greatest Find (Savage Finds),k9ydqyp5pwcolmcj,https://maphub.net/media/images/k/9y/k9ydqyp5pwcolmcj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759488/public-art-map/k9ydqyp5pwcolmcj.jpg,public-art-map/k9ydqyp5pwcolmcj,ok,
Night Cat,5rg8rv5e9ni9qfm3,https://maphub.net/media/images/5/rg/5rg8rv5e9ni9qfm3/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759489/public-art-map/5rg8rv5e9ni9qfm3.jpg,public-art-map/5rg8rv5e9ni9qfm3,ok,
